seq,competencia,arquivo_origem,pagina,data_movimento,codigo,origem_bc,natureza,especificacao,valor,saldo_apos
1,2026-01,01_2026.pdf,1,2026-01-05,0001,B,SAIDA,Tar Manuten Conta Ativa,70.60,13887.95
2,2026-01,01_2026.pdf,1,2026-01-09,0702,B,ENTRADA,875 - Recebimento da Contribuição Sindical e Termo Aditivo através de transferência bancária fevereiro e 12/2025 - (702.2) JOSE NILTON S. BORGES,58.10,13946.05
3,2026-01,01_2026.pdf,1,2026-01-09,0702,B,ENTRADA,870 - Recebimento da Contribuição Sindical e Termo Aditivo através de (701.1) - Transferência bancária 12/2025 - (702.1) ISABEL BRAGA DANTAS,22.00,13968.05
4,2026-01,01_2026.pdf,1,2026-01-09,0702,B,ENTRADA,870 - Recebimento da Contribuição Sindical e Termo Aditivo através de (701.1) - Transferência bancária 12/2025 - (702.3) RENILDES PEREIRA,22.00,13990.05
5,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida PREF MUNICIPAL ARACI FPM,26.00,14016.05
6,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida PREF MUNICIPAL ARACI FPM,636.64,14652.69
7,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida PREF MUNICIPAL ARACI FPM,198.60,14851.29
8,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida PREF MUNICIPAL ARACI FPM,1568.62,16419.91
9,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida PM ARACI-FUS,26.11,16446.02
10,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida MDE EDUCACAO REC PROPRIO,120.40,16566.42
11,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,Transferência recebida FMAS-FUNDO MUNICIPAL,84.90,16651.32
12,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),6228.06,22879.38
13,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),44683.76,67563.14
14,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PREF MUNICIPAL ARACI FPM),1688.10,69251.24
15,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),463.40,69714.64
16,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),7933.80,77648.44
17,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),1378.00,79026.44
18,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),1294.91,80321.35
19,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),87876.40,168197.75
20,2026-01,01_2026.pdf,1,2026-01-13,0701,B,ENTRADA,870 - Transferência recebida (PM ARACI - FEB),614.17,168811.92
21,2026-01,01_2026.pdf,2,2026-01-14,0007,B,SAIDA,470 - SECRETARIA JURIDICA 12/2025 serviços advocatícios prestado pelo mesmo na Secretaria Jurídica - (7.1) LUIS HENRIQUE MATOS MOTA,3795.00,165016.92
22,2026-01,01_2026.pdf,2,2026-01-14,0007,B,SAIDA,470 - Referente ao pagtº pelos serviços prestados com apoio jurídico referente ao mês de 12/2025 - (7.3) DIANE OLIVEIRA DE ALMEIDA,759.00,164257.92
23,2026-01,01_2026.pdf,2,2026-01-14,0007,B,SAIDA,120 - SECRETARIA JURIDICA 12/2025 Transferencia Referente pagtº pelos serviços relacionado ao previdenciariao prestados aos servidores - (7.4) MARIO CESAR N. OLIVEIRA,2277.00,161980.92
24,2026-01,01_2026.pdf,2,2026-01-14,0022,B,SAIDA,PRESTAÇÃO DE SERVIÇOS NA ALIMENTAÇÃO DE DADOS NO SISTEMA DA TESOURARIA E SECRETARIA 01/2026 - (22.1) MESSIANO ARAUJO DE SENA,3036.00,158944.92
25,2026-01,01_2026.pdf,2,2026-01-14,0007,B,SAIDA,470 - SECRETARIA JURIDICA 12/2025 serviços advocatícios prestado pelo mesmo na Secretaria Jurídica - (7.2) GABRIEL GERALDO CARVALHO FONTE,3795.00,155149.92
26,2026-01,01_2026.pdf,2,2026-01-14,0803,B,SAIDA,(803.2) -PLANOS DE SAÚDE - Central Nacional Unimed C oop Central - Pagamento do boleto/Fatura 01/2026 - UNIMED NACIONAL C CENTRAL,1352.00,153797.92
27,2026-01,01_2026.pdf,2,2026-01-14,0012,B,SAIDA,109 - Pagtº referente a Boleto - Pagamento mensal - 12/2025 - do seguro automotivo do veículo da APLB/ARACI-BA - (12.3) FCK PROTECAO VEICULAR,143.22,153654.70
28,2026-01,01_2026.pdf,2,2026-01-14,0803,B,SAIDA,LANOS DE SAÚDE - Central Nacional Unimed Coop Central - Pagamento do boleto/Fatura 01/2026 (803.3) UNIMED SAUDE E ODONTO S.A,5229.80,148424.90
29,2026-01,01_2026.pdf,2,2026-01-14,0911,B,SAIDA,109 - Referente a pgtº - 12/2025 - de fatura de Internet da sede do CTR/Araci - (911.1) DINFO - PALOMA TORRES DE OLIVEIRA,55.00,148369.90
30,2026-01,01_2026.pdf,2,2026-01-14,0005,B,SAIDA,Referente a pgtº -01/2026- de fatura de Internet da sede da APLB/Araci - (5.1) GLAUBER SERVIÇOS DE INFORMÁTICA LTDA,62.50,148307.40
31,2026-01,01_2026.pdf,2,2026-01-14,0006,B,SAIDA,Referente a pgt. - nº 000.000.178 - Compra de MlteFuncional epson ecotank L3250 WI-FI para a sala de tesouraria - parcela 3/4 - da sede da APLB/ARACI-BA - (6.3) 2E TECNOLOGIA E SEGURANÇA ELETRONICA - MILLENIUM,387.25,147920.15
32,2026-01,01_2026.pdf,2,2026-01-14,0803,B,SAIDA,109 - (803.1) PLANOS DE SAÚDE - Pagamento do boleto/Fatura 01/2026 -UNIMED NACIONAL C CENTRAL,94645.53,53274.62
33,2026-01,01_2026.pdf,2,2026-01-14,0022,B,SAIDA,109 - Transferencia - Nota 00000011 - Referente ao pagtº pelos serviços prestados com hospedagem de Domínio de Programas/Sistemas Tesouraria/Secretaria para APLB/ARACI- Ba - 01/2026 - (22.2) MARCOS RONALDO ALMEIDA SILVA,260.60,53014.02
34,2026-01,01_2026.pdf,2,2026-01-14,0003,B,SAIDA,Referente a pgtº de fatura de água da APLB/Araci - BA -01/2026 - (3.1) EMBASA SEDE,54.72,52959.30
35,2026-01,01_2026.pdf,2,2026-01-14,0918,B,SAIDA,375 - (918.1) DESP. TRABALHISTAS - 01/2026 FGTS Desc. e Arrec. RECEITA FEDERAL,541.41,52417.89
36,2026-01,01_2026.pdf,2,2026-01-14,0919,B,SAIDA,DESP. TRABALHISTAS - 01/2026 - 50000355066008 - (918.2) GPS RECEITA FEDERAL,138.03,52279.86
37,2026-01,01_2026.pdf,2,2026-01-14,0001,B,SAIDA,(1.1) Tarifa de Transferencia de Recursos,2.60,52277.26
38,2026-01,01_2026.pdf,2,2026-01-14,0001,B,SAIDA,(1.1) Tarifa de Transferencia de Recursos,2.60,52274.66
39,2026-01,01_2026.pdf,2,2026-01-14,0001,B,SAIDA,(1.1) Tarifa de Transferencia de Recursos,1.70,52272.96
40,2026-01,01_2026.pdf,2,2026-01-14,0001,B,SAIDA,(1.1) Tarifa de Transferencia de Recursos,1.70,52271.26
41,2026-01,01_2026.pdf,2,2026-01-14,0001,B,SAIDA,(1.1) Tarifa de Transferencia de Recursos,1.70,52269.56
42,2026-01,01_2026.pdf,2,2026-01-15,0702,B,ENTRADA,870 - Recebimento da Contribuição Sindical e Termo Aditivo através de - Transferência bancária 12/2025 -(702.13) JOSELITA SANTANA DA SILVA,1622.00,53891.56
43,2026-01,01_2026.pdf,2,2026-01-14,0801,B,SAIDA,002 - (801.1) Suprimento de Caixa - Cheque 851.046,9900.00,43991.56
44,2026-01,01_2026.pdf,2,2026-01-15,0001,B,SAIDA,Tar Processamento Cheque,19.10,43972.46
