codigo,descricao,natureza_padrao,ativo
0000,TRANSAÇÃO ANULADA,AMBOS,1
0001,TARIFAS BANCÁRIAS,SAIDA,1
0002,COELBA,SAIDA,1
0003,EMBASA SEDE,SAIDA,1
0004,TELEFONE,SAIDA,1
0005,INTERNET,SAIDA,1
0006,MATERIAL PARA ESCRITÓRIO,SAIDA,1
0007,SECRETARIA JURÍDICA,SAIDA,1
0008,SERVIÇO DE LIMPEZA,SAIDA,1
0009,DIVULGAÇÃO EM RÁDIO COMUNITÁRIA,SAIDA,1
0010,MATERIAL DE LIMPEZA SEDE,SAIDA,1
0011,COMBUSTÍVEL,SAIDA,1
0012,MANUTENÇÃO E IMPOSTOS DO CARRO,SAIDA,1
0013,ÁGUA MINERAL,SAIDA,1
0014,PREST. DE SERV. DIVER. PARA SEDE DA APLB,SAIDA,1
0015,LOCAÇÃO DE VEÍCULOS,SAIDA,1
0016,SERVIÇOS GRÁFICOS,SAIDA,1
0017,PROD. ALIMENTÍCIOS/OUTROS PARA A COZINHA,SAIDA,1
0018,UNIFORMES,SAIDA,1
0019,SERVIÇOS DE FILMAGEM E FOTOGRAFIA,SAIDA,1
0020,IPTU,SAIDA,1
0021,MANUT. DE EQUIP. E AP. ELETRÔNICOS DA APLB,SAIDA,1
0022,PREST. DE SERV. NA ALIMNT. DE DADOS DO SIST.DE INFORMATICA,SAIDA,1
0101,I ASSEMBLEIA - 05/08/2015,SAIDA,1
0102,II ASSEMBLEIA - 24/09/2015,SAIDA,1
0103,III ASSEMBLEIA - 21/12/2015,SAIDA,1
0104,IV ASSEMBLEIA - 21/01/2016,SAIDA,1
0105,V ASSEMBLEIA - 29/02/2016,SAIDA,1
0106,VI ASSEMBLEIA - 16/03/2016,SAIDA,1
0107,VII ASSEMBLEIA - 13/04/2016,SAIDA,1
0108,VIII ASSEMBLEIA - 10/08/2016,SAIDA,1
0109,IX ASSEMBLEIA - 26/09/2016,SAIDA,1
0110,X ASSEMBLEIA - 10/10/2016,SAIDA,1
0111,XI ASSEMBLEIA - 14/10/2016,SAIDA,1
0112,XII ASSEMBLEIA - 21/10/2016,SAIDA,1
0113,XIII ASSEMBLEIA - 09/11/2016,SAIDA,1
0114,XIV ASSEMBLEIA - 23/01/2017,SAIDA,1
0115,XV ASSEMBLEIA - 08/03/2017,SAIDA,1
0116,XVI ASSEMBLEIA - 15/03/2017,SAIDA,1
0117,XVII ASSEMBLEIA - 16/03/2017,SAIDA,1
0118,XVIII ASSEMBLEIA - 17/03/2017,SAIDA,1
0119,XIX ASSEMBLEIA - 24/03/2017,SAIDA,1
0120,XX ASSEMBLEIA - 31/03/2017,SAIDA,1
0121,XXI ASSEMBLEIA - 03/05/2017,SAIDA,1
0122,XXII ASSEMBLEIA - 10/05/2017,SAIDA,1
0123,XXIII ASSEMBLEIA - 05/07/2017,SAIDA,1
0124,XXIV ASSEMBLEIA - 02/08/2017,SAIDA,1
0125,XXV ASSEMBLEIA - 09/08/2017,SAIDA,1
0126,XXVI ASSEMBLEIA - 16/10/2017,SAIDA,1
0127,XXVII ASSEMBLEIA - 20/10/2017,SAIDA,1
0128,XXVIII ASSEMBLEIA - 14/11/2017,SAIDA,1
0129,XXIX ASSEMBLEIA - 27/11/2017,SAIDA,1
0130,XXX ASSEMBLEIA - 27/12/2017,SAIDA,1
0131,XXXI ASSEMBLEIA - 20/06/2018,SAIDA,1
0132,XXXII ASSEMBLEIA - 10/10/2018,SAIDA,1
0133,XXXIII ASSEMBLEIA - 26/11/2018,SAIDA,1
0134,XXXIV ASSEMBLEIA - 17/12/2018,SAIDA,1
0135,XXXV ASSEMBLEIA - 18/02/2019,SAIDA,1
0136,XXXVI ASSEMBLEIA - 22/03/2019,SAIDA,1
0137,XXXVII ASSEMBLEIA - 15/05/2019,SAIDA,1
0141,I ASSEMBLEIA - 03/09/2019,SAIDA,1
0142,II ASSEMBLEIA - 16/10/2019,SAIDA,1
0143,III ASSEMBLEIA - 15/01/2020,SAIDA,1
0144,IV ASSEMBLEIA - 20/02/2020,SAIDA,1
0145,V ASSEMBLEIA - 30/09/2021,SAIDA,1
0146,VI ASSEMBLEIA - 28/12/2021,SAIDA,1
0147,VII ASSEMBLEIA - 06/09/2022,SAIDA,1
0148,VIII ASSEMBLEIA - 30/09/2022,SAIDA,1
0149,IX ASSEMBLEIA - 21/11/2022,SAIDA,1
0150,X ASSEMBLEIA - 22/12/2022,SAIDA,1
0151,XI ASSEMBLEIA - 26/12/2022,SAIDA,1
0152,XII ASSEMBLEIA - 09/05/2023,SAIDA,1
0161,I ASSEMBLEIA - 13/07/2023,SAIDA,1
0162,II ASSEMBLEIA - 09/08/2023,SAIDA,1
0163,III ASSEMBLEIA - 14/08/2023,SAIDA,1
0164,IV ASSEMBLEIA - 13/09/2023,SAIDA,1
0165,V ASSEMBLEIA - 30/10/2023,SAIDA,1
0166,VI ASSEMBLEIA - 07/02/2024,SAIDA,1
0167,VII ASSEMBLEIA - 19/02/2024,SAIDA,1
0168,VIII ASSEMBLEIA - 29/04/2024,SAIDA,1
0169,IX ASSEMBLEIA - 27/05/2024,SAIDA,1
0170,X ASSEMBLEIA - 29/07/2024,SAIDA,1
0171,XI ASSEMBLEIA - 25/11/2024,SAIDA,1
0172,XII ASSEMBLEIA - 22/04/2025,SAIDA,1
0173,XIII ASSEMBLEIA - DATA EM ABERTO,SAIDA,1
0174,XIV ASSEMBLEIA - DATA EM ABERTO,SAIDA,1
0175,XV ASSEMBLEIA - DATA EM ABERTO,SAIDA,1
0176,XVI ASSEMBLEIA - DATA EM ABERTO,SAIDA,1
0177,XVII ASSEMBLEIA - DATA EM ABERTO,SAIDA,1
0201,I FESTA DO SERVIDOR,SAIDA,1
0202,II FESTA DO SERVIDOR,SAIDA,1
0203,III FESTA DO SERVIDOR,SAIDA,1
0204,IV FESTA DO SERVIDOR,SAIDA,1
0205,V FESTA DO SERVIDOR,SAIDA,1
0206,VI FESTA DO SERVIDOR,SAIDA,1
0207,VII FESTA DO SERVIDOR,SAIDA,1
0208,VIII FESTA DO SERVIDOR,SAIDA,1
0209,IX FESTA DO SERVIDOR,SAIDA,1
0251,1ª Feijoada feita no Espaço de Eventos para os servidores,SAIDA,1
0301,I SEMINÁRIO TEMÁTICO,SAIDA,1
0302,II SEMINÁRIO TEMÁTICO,SAIDA,1
0303,III SEMINÁRIO TEMÁTICO,SAIDA,1
0304,IV SEMINÁRIO TEMÁTICO,SAIDA,1
0305,V SEMINÁRIO TEMÁTICO,SAIDA,1
0401,I ARRAIÁ,SAIDA,1
0402,II ARRAIÁ,SAIDA,1
0403,III ARRAIÁ,SAIDA,1
0404,IV ARRAIÁ - 11/06/2022,SAIDA,1
0501,REUNIÃO LOCAL,SAIDA,1
0502,REUNIÃO/ASSEMBLEIA DA DELEGACIA,SAIDA,1
0503,REUNIÃO/ASSEMBLEIA REGIONAL,SAIDA,1
0504,REUNIÃO ESTADUAL,SAIDA,1
0505,EVENTOS DIVERSOS,SAIDA,1
0506,CONSELHO SINDICAL,SAIDA,1
0507,SOLENIDADE DE POSSE,SAIDA,1
0508,SEMINÁRIO REGIONAL,SAIDA,1
0509,EVENTOS SOCIAIS (SEMINÁRIOS/CONGRESSOS),SAIDA,1
0510,EVENTOS NACIONAIS,SAIDA,1
0511,VIAGENS DIVERSAS,SAIDA,1
0512,GREVE GERAL - PASSEATA/MOBILIZAÇÃO,SAIDA,1
